Date,Predicted,Lower_Bound,Upper_Bound,Trend,Daily_Seasonality,Weekly_Seasonality
2017-07-01 19:10:00,76.29049877775685,26.031548280955892,119.33581745840617,61.12356219302396,15.328361684920885,-0.1614251001879987
2017-07-01 19:15:00,76.52502199295355,27.65683968980174,119.73862145738428,61.132868563982306,15.551341897659096,-0.1591884686878474
2017-07-01 19:20:00,76.74677504071283,27.184938301030343,119.15236631155649,61.142174934940606,15.761543408746693,-0.15694330297446782
2017-07-01 19:25:00,76.95599047390944,27.16411353412433,118.78087851598245,61.151481305898955,15.95919917391563,-0.15469000590514928
2017-07-01 19:30:00,77.15291667620134,27.317576026980138,119.22469845710201,61.160787676857275,16.144557980285484,-0.1524289809414116
2017-07-01 19:35:00,77.33781424805534,28.233145853674444,119.34291727649492,61.170094047815624,16.317880832348163,-0.1501606321084406
2017-07-01 19:40:00,77.51095239546866,28.856040753944097,119.67164559975393,61.179400418773945,16.47943734066686,-0.14788536397214003
2017-07-01 19:45:00,77.67260535125597,26.47311970513044,121.0462529858355,61.188706789732294,16.629502143098915,-0.14560358157524209
2017-07-01 19:50:00,77.8230488562299,27.243300777606883,120.62206887636604,61.198013160690614,16.768351385958695,-0.14331569041939848
2017-07-01 19:55:00,77.96255673061017,25.436925254365896,119.9748961648805,61.20731953164896,16.896259295384958,-0.14102209642374994
2017-07-01 20:00:00,78.0913975625075,27.75897720922265,122.20483214962555,61.21662590260726,17.013494865768077,-0.13872320586784687
2017-07-01 20:05:00,78.2098315381586,29.001617973729328,122.07252560422809,61.22593227356561,17.120318689998665,-0.13641942540567722
2017-07-01 20:10:00,78.31810744218028,27.148339170666535,120.53521011047314,61.23523864452393,17.21697995961187,-0.13411116195552505
2017-07-01 20:15:00,78.41645984933777,29.765851557858895,121.52448971691193,61.24454501548228,17.30371365657991,-0.13179882272442822
2017-07-01 20:20:00,78.5051065308678,28.763906337820927,121.02169401124272,61.2538513864406,17.380737959561646,-0.129482815134452
2017-07-01 20:25:00,78.58424609511195,28.696092793108036,120.85720985875753,61.26315775739895,17.44825188451258,-0.12716354679957645
2017-07-01 20:30:00,78.65405588174531,28.46147791799852,120.78809142026005,61.27246412835729,17.506433178868715,-0.12484142548069489
2017-07-01 20:35:00,78.7146901251189,27.927258218304598,120.58885532206206,61.28177049931562,17.55543648485256,-0.12251685904927731
2017-07-01 20:40:00,78.76627840130641,27.132547773271774,122.47463681460863,61.29107687027392,17.595391786495323,-0.12019025546283943
2017-07-01 20:45:00,78.80892437033339,30.909777594946895,121.07204368198369,61.30038324123227,17.626403151798208,-0.11786202269708385
2017-07-01 20:50:00,78.84270482330221,28.327637659747726,121.69653471067633,61.30968961219059,17.64854777985493,-0.11553256874330196
2017-07-01 20:55:00,78.8676690410671,28.291045447749738,121.28443189502302,61.31899598314894,17.661875359449418,-0.11320230153126092
2017-07-01 21:00:00,78.88383846924076,27.392031748768943,120.56019478482825,61.32830235410728,17.66640774408268,-0.11087162894919655
2017-07-01 21:05:00,78.89120671102853,29.27137868695705,121.60507789886569,61.33760872506561,17.662138944689758,-0.10854095872683713
2017-07-01 21:10:00,78.88973983746885,27.307374739879513,121.89141081455722,61.34691509602395,17.64903543992382,-0.10621069847892078
2017-07-01 21:15:00,78.87937701167536,28.741476826188077,121.26035684201658,61.35622146698228,17.627036800290732,-0.10388125559765223
2017-07-01 21:20:00,78.86003142147518,28.415842799465945,121.04490497583846,61.36552783794062,17.596056620803346,-0.10155303726877613
2017-07-01 21:25:00,78.83159151213066,28.326116282435226,121.85721699817165,61.374834208898925,17.555983753638124,-0.09922645040639289
2017-07-01 21:30:00,78.7939225082185,28.12566354513468,121.9967384332358,61.38414057985727,17.506683829966274,-0.09690190160503642
2017-07-01 21:35:00,78.74686821245322,28.125804500405504,122.3200022415133,61.393446950815594,17.448001058768323,-0.09457979713069103
2017-07-01 21:40:00,78.69025306524664,26.34949194736477,121.1739956390681,61.402753321773936,17.379760286337877,-0.09226054286517082
2017-07-01 21:45:00,78.62388444844997,28.029870289379385,122.71111578583263,61.412059692732264,17.30176929999927,-0.0899445442815569
2017-07-01 21:50:00,78.54755521344008,27.980768549902194,122.41435307421249,61.421366063690606,17.2138213561242,-0.0876322063747319
2017-07-01 21:55:00,78.46104641312454,26.893108963881357,121.04227081296656,61.43067243464893,17.115697912152893,-0.08532393367729013
2017-07-01 22:00:00,78.3641302143322,27.206722947731656,120.74543803852814,61.439978805607275,17.007171538877866,-0.08302013015293173
2017-07-01 22:05:00,78.25657296669132,26.167446793172772,120.27852875548037,61.44928517656558,16.888008989365222,-0.08072119923947918
2017-07-01 22:10:00,78.13813840283444,27.37670146379415,121.01241704421304,61.45859154752392,16.75797439904609,-0.0784275437355784
2017-07-01 22:15:00,78.0085909417499,27.30049568311569,120.06982367349983,61.46789791848225,16.616832589076605,-0.07613956580894767
2017-07-01 22:20:00,77.86769907089649,27.22118775213252,120.6527566176799,61.47720428944059,16.464352448399346,-0.07385766694344907
